label,label_id,char,char_code,font,font_stem,size,augment_id,image_path
Alef,0,ا,U+0627,IRTehran.ttf,IRTehran,64,base,DS-3\Alef\Alef__U+0627__IRTehran__sz64__base-b71eee2b3f.png
Alef,0,ا,U+0627,IRMaryam.ttf,IRMaryam,64,base,DS-3\Alef\Alef__U+0627__IRMaryam__sz64__base-7dd4bbb4b5.png
Alef,0,ا,U+0627,IRYekan.ttf,IRYekan,64,base,DS-3\Alef\Alef__U+0627__IRYekan__sz64__base-8e8f17208b.png
Alef,0,ا,U+0627,IRElham.ttf,IRElham,64,base,DS-3\Alef\Alef__U+0627__IRElham__sz64__base-d98bd07c7c.png
Alef,0,ا,U+0627,IRJadid.ttf,IRJadid,64,base,DS-3\Alef\Alef__U+0627__IRJadid__sz64__base-78fdd365fa.png
Alef,0,ا,U+0627,IRLotus.ttf,IRLotus,64,base,DS-3\Alef\Alef__U+0627__IRLotus__sz64__base-2104f82bf0.png
Alef,0,ا,U+0627,IRYekanBold.ttf,IRYekanBold,64,base,DS-3\Alef\Alef__U+0627__IRYekanBold__sz64__base-7c47a7cee4.png
Alef,0,ا,U+0627,IRZarIranic.ttf,IRZarIranic,64,base,DS-3\Alef\Alef__U+0627__IRZarIranic__sz64__base-75612ed8ba.png
Alef,0,ا,U+0627,IRNazaninBold.ttf,IRNazaninBold,64,base,DS-3\Alef\Alef__U+0627__IRNazaninBold__sz64__base-cd63de9d20.png
Alef,0,ا,U+0627,IRKoodak.ttf,IRKoodak,64,base,DS-3\Alef\Alef__U+0627__IRKoodak__sz64__base-8cb0008397.png
Alef,0,ا,U+0627,IRDastNevis.ttf,IRDastNevis,64,base,DS-3\Alef\Alef__U+0627__IRDastNevis__sz64__base-93df5792d9.png
Alef,0,ا,U+0627,IRTerafikBold.ttf,IRTerafikBold,64,base,DS-3\Alef\Alef__U+0627__IRTerafikBold__sz64__base-decefb880c.png
Alef,0,ا,U+0627,IRNaskh.ttf,IRNaskh,64,base,DS-3\Alef\Alef__U+0627__IRNaskh__sz64__base-b74536176f.png
Alef,0,ا,U+0627,IRNazliBold.ttf,IRNazliBold,64,base,DS-3\Alef\Alef__U+0627__IRNazliBold__sz64__base-ecc212c89c.png
Alef,0,ا,U+0627,IRNarges.ttf,IRNarges,64,base,DS-3\Alef\Alef__U+0627__IRNarges__sz64__base-fefa403acf.png
Alef,0,ا,U+0627,IRSina.ttf,IRSina,64,base,DS-3\Alef\Alef__U+0627__IRSina__sz64__base-0e33877c1a.png
